,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2810,5.22,19575.0,20059.764673299997,0.173652695,3842.866795651341,-0.0247644788403576,CA,91941,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.087031944101978
2811,4.610206013,18790.0,18065.135059700002,0.176829268,3918.509283263997,0.03857716552953699,CA,91343,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.28558376217271
2812,9.75,39792.0,40697.4512576,0.194610778,4174.09756488205,-0.02275460538801769,CA,92127,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.956470185854347
2813,5.52,26510.0,27022.624712,0.21152667100000005,4895.403027536232,-0.0193370317615994,CA,91977,2017,18.15,5.75072289156626,9,2017-09-01,127.3,12.849804415258664
2814,3.64,13927.0,14265.035136200002,0.17073170699999998,3918.9656967582423,-0.024271927636964168,CA,92069,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.286781788995127
2815,6.58,15397.0,16008.0635154,0.181846994,2432.836400516717,-0.039687180320841724,CA,91978,2017,18.15,5.75072289156626,9,2017-09-01,127.3,6.3858831939103995
2816,4.251506703,17325.0,16656.8238042,0.16768292699999998,3917.863705223941,0.03856716858874459,CA,91402,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.283889202704804
2817,9.715,29000.0,29902.2009198,0.195906433,3077.9414225218734,-0.03111037654482758,CA,91914,2017,18.15,5.75072289156626,9,2017-09-01,127.3,8.079201050160396
2818,6.38,23750.0,24342.4901563,0.173655294,3815.437328573667,-0.02494695394947368,CA,92014,2017,18.15,5.75072289156626,9,2017-09-01,127.3,10.015033114755285
2819,4.145253837,24958.0,24306.956441,0.167664671,5863.8040990491945,0.02608556611106659,CA,91352,2017,18.15,5.75072289156626,9,2017-09-01,127.3,15.391732892745267
2820,3.36,15106.0,15418.0324334,0.181846994,4588.7001289880955,-0.020656191804580958,CA,92078,2017,18.15,5.75072289156626,9,2017-09-01,127.3,12.04474868485848
2821,3.12,15600.0,15889.7444024,0.154761905,5092.8667956410245,-0.018573359128205125,CA,91910,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.368121453707614
2822,6.03,15000.0,15559.986777799999,0.195906433,2580.4289847097843,-0.03733245185333334,CA,91962,2017,18.15,5.75072289156626,9,2017-09-01,127.3,6.773294777666762
2823,3.9,19968.0,20330.180503,0.183284457,5212.8667956410245,-0.01813804602363782,CA,91911,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.683106046632352
2824,3.99,13965.0,14335.538514599999,0.170658683,3592.8667956390973,-0.02653337018259936,CA,92083,2017,18.15,5.75072289156626,9,2017-09-01,127.3,9.430814042143302
2825,8.02,36597.0,37341.791701099995,0.160493827,4656.083753254366,-0.020351168158592232,CA,92040,2017,18.15,5.75072289156626,9,2017-09-01,127.3,12.221622047019345
2826,8.45,43264.0,44048.7244233,0.19411445,5212.866795656805,-0.018138046026719677,CA,92679,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.683106046673773
2827,4.95,20316.0,20775.6906385,0.16768292699999998,4197.10921989899,-0.022627024931088795,CA,92129,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.016872825754639
2828,5.88,30106.0,30652.0567584,0.167664671,5212.9348228571425,-0.01813780503554109,CA,91942,2017,18.15,5.75072289156626,9,2017-09-01,127.3,13.683284609340491
2829,6.44,27119.0,27717.062164,0.17073170699999998,4303.891640372671,-0.02205325284855636,CA,92129,2017,18.15,5.75072289156626,9,2017-09-01,127.3,11.297162969458144
2830,7.44,15179.0,15869.928959600002,0.18902439,2133.054967688172,-0.04551874033862573,CA,92139,2017,18.15,5.75072289156626,9,2017-09-01,127.3,5.598995422361278
